,OLDID,VILLAGE,AREA,Type,LatGRS,LongGRS,Y_LO,X_LO,ORTHOH,lzon,SURVREC
1507,4/432,TLOLANKWE,2023,BM,-20.254666666666665,23.587916666666665,-61468.767,2240374.66,950.37,23.0,
1508,4/433,TLOLANKWE,2023,BM,-20.24119444444445,23.58108333333333,-60760.049000000006,2238880.605,948.61,23.0,
1511,4/436,SAMEDUPE AREA,2023,BM,-20.194777777777777,23.563111111111112,-58899.593,2233735.278,944.92,23.0,
1512,4/437,SAMEDUPE,2023,BM,-20.18080555555556,23.555444444444444,-58103.443,2232185.704,942.7,23.0,
1515,4/440,SAMEDUPE,2023,BM,-20.13908333333333,23.53680555555556,-56170.04,2227560.23,937.17,23.0,
1518,4/443,SAMEDUPE,2023,BM,-20.116777777777777,23.518833333333333,-54298.602,2225084.8340000003,931.41,23.0,
1519,4/444,SAMEDUPE,2023,BM,-20.117833333333333,23.5055,-52903.944,2225197.401,931.62,23.0,
1546,4/64,MASAMA,2226,BM,-22.47888755555556,26.91124625,9103.33,2486538.352,990.71,27.0,
1549,4/67,MASAMA,2226,BM,-22.457084972222223,26.86941480555556,13410.37,2484127.202,1020.67,27.0,
1553,4/71,MASAMA,2226,BM,-22.43333725,26.81196302777778,19327.041,2481503.801,1084.73,27.0,862
1558,4/76,SEROWE,2226,BM,-22.417245666666663,26.73844641666667,26898.335,2479733.267,1114.71,27.0,862
1559,4/77,SEROWE,2226,BM,-22.43571963888889,26.827621416666663,17714.786,2481765.67,1112.49,27.0,
1560,4/78,SEROWE,2226,BM,-22.433347916666666,26.811959666666667,19327.385,2481504.984,1118.58,27.0,
1561,4/79,SEROWE,2226,BM,-22.375274194444444,26.65592819444444,35404.869,2475102.689,1136.94,27.0,862
1612,4M1,MULAMBAKWENA,2027,RM,-20.561228007724864,27.52986987852784,-55288.54,2274289.45,,27.0,997
1613,4M10,MULAMBAKWENA,2027,RM,-20.61241611153393,27.54625203696581,-56977.79,2279962.41,,27.0,997
1614,4M11,MULAMBAKWENA,2027,RM,-20.613917609016443,27.544992414233224,-56845.93,2280128.21,,27.0,997
1615,4M12,MULAMBAKWENA,2027,RM,-20.617772161317347,27.53320592967719,-55615.92,2280550.9,,27.0,997
1616,4M13,MULAMBAKWENA,2027,RM,-20.619199630576464,27.528985944696643,-55175.53,2280707.51,,27.0,997
1617,4M14,MULAMBAKWENA,2027,RM,-20.62021456965112,27.508349074663595,-53024.09,2280813.02,,27.0,997
1618,4M14A,MULAMBAKWENA,2027,RM,-20.61961723105941,27.525239614428592,-54784.88,2280752.48,,27.0,997
1619,4M14B,MULAMBAKWENA,2027,RM,-20.6214668380641,27.52217430039181,-54464.71,2280956.23,,27.0,997
1620,4M14C,MULAMBAKWENA,2027,RM,-20.620843303294745,27.509537912780765,-53147.79,2280883.02,,27.0,997
1621,4M15,MULAMBAKWENA,2027,RM,-20.61343364430458,27.503145302373472,-52484.0,2280060.58,,27.0,997
1622,4M16,MULAMBAKWENA,2027,RM,-20.61107034399797,27.501661459753645,-52330.13,2279798.45,,27.0,997
1623,4M17,MULAMBAKWENA,2027,RM,-20.606273966541888,27.49657321406253,-51801.35,2279265.79,,27.0,997
1624,4M18,MULAMBAKWENA,2027,RM,-20.603472610425406,27.49263477450316,-51391.73,2278954.39,,27.0,997
1625,4M19,MULAMBAKWENA,2027,RM,-20.58999971711331,27.47789507820802,-49859.56,2277458.16,,27.0,997
1626,4M2,MULAMBAKWENA,2027,RM,-20.57086058011603,27.54785742647993,-57160.61,2275362.12,,27.0,997
1627,4M20,MULAMBAKWENA,2027,RM,-20.587361016624875,27.4744212904706,-49498.25,2277164.96,,27.0,997
1628,4M21,MULAMBAKWENA,2027,RM,-20.575592145135467,27.464058076563692,-48421.53,2275858.86,,27.0,997
1629,4M22,MULAMBAKWENA,2027,RM,-20.571446775240656,27.458946995475703,-47889.92,2275398.4,,27.0,997
1630,4M23,MULAMBAKWENA,2027,RM,-20.573570338384133,27.45806071533862,-47796.85,2275633.25,,27.0,997
1631,4M24,MULAMBAKWENA,2027,RM,-20.596884758964112,27.448321661915735,-46774.3,2278211.67,,27.0,997
1632,4M25,MULAMBAKWENA,2027,RM,-20.600176848767838,27.44841493487833,-46783.02,2278576.18,,27.0,997
1633,4M26,MULAMBAKWENA,2027,RM,-20.603116462051663,27.44720389358948,-46655.88,2278901.29,,27.0,997
1634,4M27,MULAMBAKWENA,2027,RM,-20.6159002587536,27.44367365251672,-46284.01,2280315.64,,27.0,997
